Animal_ID,Experiment,Trial,Box,Treatment,Sex,Genotype,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Month
211122-2,VF121521_095730,day2_trial1,Chamber 2,HFD,female,APOE22HN,Day2_CSTone,59,109.367,24.3,30.38,65.25,0,1249,November
211122-2,VF121521_095730,day2_trial1,Chamber 2,HFD,female,APOE22HN,Day2_Exploration,15,16.633,3.7,3.7,88.2,0,1249,November
,,,,,,,,,,,,,,,
211122-3,VF121521_100656,day2_trial2,Chamber1,HFD,female,APOE22HN,Day2_Acclimation,18,24.267,5.39,13.48,125.54,0,1222,November
211122-3,VF121521_100656,day2_trial2,Chamber1,HFD,female,APOE22HN,Day2_CSTone,44,61.267,13.61,17.02,81.33,0,1377,November
211122-3,VF121521_100656,day2_trial2,Chamber1,HFD,female,APOE22HN,Day2_Exploration,16,18.833,4.19,4.19,88.15,0,1137,November
,,,,,,,,,,,,,,,
211122-4,VF121521_100656,day2_trial2,Chamber 2,HFD,female,APOE22HN,Day2_Acclimation,3,2,0.44,1.11,214.07,0,1848,November
211122-4,VF121521_100656,day2_trial2,Chamber 2,HFD,female,APOE22HN,Day2_CSTone,30,30.567,6.79,8.49,138.23,0,1524,November
211122-4,VF121521_100656,day2_trial2,Chamber 2,HFD,female,APOE22HN,Day2_Exploration,17,18.867,4.19,4.19,113.48,0,1524,November
,,,,,,,,,,,,,,,
211122-5,VF121521_101715,day2_trial3,Chamber1,HFD,female,APOE22HN,Day2_Acclimation,23,24.767,5.5,13.76,116.36,0,942,November
211122-5,VF121521_101715,day2_trial3,Chamber1,HFD,female,APOE22HN,Day2_CSTone,52,148.867,33.08,41.35,49.94,0,956,November
211122-5,VF121521_101715,day2_trial3,Chamber1,HFD,female,APOE22HN,Day2_Exploration,10,14.8,3.29,3.29,114.07,0,956,November
,,,,,,,,,,,,,,,
211122-6,VF121521_101715,day2_trial3,Chamber 2,HFD,female,APOE22HN,Day2_Acclimation,5,3.767,0.84,2.09,196.33,0,1442,November
211122-6,VF121521_101715,day2_trial3,Chamber 2,HFD,female,APOE22HN,Day2_CSTone,64,98.267,21.84,27.3,75.78,0,993,November
211122-6,VF121521_101715,day2_trial3,Chamber 2,HFD,female,APOE22HN,Day2_Exploration,10,12.067,2.68,2.68,109.48,0,783,November
,,,,,,,,,,,,,,,
211122-7,VF121521_102748,day2_trial4,Chamber1,HFD,female,APOE22HN,Day2_Acclimation,30,36.6,8.13,20.33,111.45,0,1138,November
211122-7,VF121521_102748,day2_trial4,Chamber1,HFD,female,APOE22HN,Day2_CSTone,61,153.967,34.21,42.77,62.94,0,1237,November
211122-7,VF121521_102748,day2_trial4,Chamber1,HFD,female,APOE22HN,Day2_Exploration,17,49.133,10.92,10.92,34.75,0,320,November
,,,,,,,,,,,,,,,
211122-8,VF121521_102748,day2_trial4,Chamber 2,HFD,female,APOE22HN,Day2_Acclimation,6,5.4,1.2,3,188.26,0,974,November
211122-8,VF121521_102748,day2_trial4,Chamber 2,HFD,female,APOE22HN,Day2_CSTone,37,106.4,23.64,29.56,95.26,0,1354,November
211122-8,VF121521_102748,day2_trial4,Chamber 2,HFD,female,APOE22HN,Day2_Exploration,7,10.267,2.28,2.28,146.13,0,1354,November
,,,,,,,,,,,,,,,
211122-9,VF121521_104232,day2_trial5,Chamber1,Control,male,APOE22HN,Day2_Acclimation,41,124.467,27.66,69.15,33.22,0,730,November
211122-9,VF121521_104232,day2_trial5,Chamber1,Control,male,APOE22HN,Day2_CSTone,71,188.5,41.89,52.36,25.33,0,742,November
211122-9,VF121521_104232,day2_trial5,Chamber1,Control,male,APOE22HN,Day2_Exploration,21,47.067,10.46,10.46,41.63,0,511,November
,,,,,,,,,,,,,,,
211122-10,VF121521_104232,day2_trial5,Chamber 2,Control,male,APOE22HN,Day2_Acclimation,30,35.133,7.81,19.52,153.21,0,1226,November
211122-10,VF121521_104232,day2_trial5,Chamber 2,Control,male,APOE22HN,Day2_CSTone,62,72.967,16.21,20.27,129.4,0,2373,November
