"","Group.1","Group.2","Group.3","Group.4","Test","Animal","Treatment","Diet","APOE","Sex","Code","Stage","Trial","LaunchQuad","Apparatus","Date","Winding","Duration","Distance","Mean.speed","NE.time","NE.distance","NE...average.speed","NW.time","NW.distance","NW...average.speed","SE.time","SE.distance","SE...average.speed","SW.time","SW.distance","SW...average.speed","NormSWTime","NormSWDist","Island...distance.to.first.entry","Island...latency.to.first.entry","Thigmitaxis...time","Thigmitaxis...distance","Thigmitaxis...average.speed","SW...latency.to.first.entry","residuals"
"56",84,3,1,1,31,84,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,33.25,0.6105,0.133,1.9,0.0384,NA,6,0.11335,NA,0,0,NA,9.25,0.14015,0.133,0.6,0.599736192664454,NA,NA,16.05,3.186,NA,NA,-0.145130167156153
"57",85,3,1,1,49,85,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,18.6,0.3201,0.1705,2.9,0.04585,NA,2.65,0.05565,NA,2.45,0.05425,NA,5.85,0.0849,0.156,0.328654885351249,0.2820177102875,2.7835,14.55,4.7,0.7945,0.1635,NA,-4.16410646006018
"58",93,3,1,1,41,93,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,41.75,0.9218,0.21,4.9,0.11515,0.2175,2.75,0.06255,0.2275,5,0.1333,0.2775,5.8,0.0965,0.174,0.179503546099291,0.117802789329229,NA,NA,23.3,5.1435,0.2155,NA,-4.86609482191908
"59",94,3,1,1,25,94,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,56.1,1.37115,0.245,6.15,0.17025,0.2875,11.3,0.31645,0.2825,5,0.14885,0.2845,8.75,0.2092,0.266,0.164013409961686,0.157283194499563,NA,NA,24.9,5.2645,0.213,NA,-2.4938060286295
"60",95,3,1,1,43,95,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,35.85,0.79655,0.197,5,0.1111,NA,2.75,0.0666,NA,4.5,0.1035,0.2295,7.75,0.1492,0.1975,0.411260683760684,0.343827806817909,NA,NA,15.85,3.661,0.2515,NA,-2.70151637371235
"61",96,3,1,1,419,96,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,21.6,0.43425,0.1945,3.6,0.07665,0.2325,7.1,0.18485,0.248,3.4,0.0838,0.2815,6.9,0.0792,0.1105,0.341370589535198,0.187383983572895,4.268,17.5,0.55,0.097,NA,6.4,-3.51025128751875
"62",97,3,1,1,406,97,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,60,1.17805,0.1965,6.5,0.16025,NA,18.75,0.40395,0.215,1.4,0.03105,NA,6.9,0.146,0.2135,0.115,0.129730604657535,NA,NA,27.2,4.513,0.1725,8.3,-3.54326335647363
"63",98,3,1,1,429,98,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,55.95,0.86375,0.1555,7.65,0.13695,0.1765,3.75,0.0625,NA,8.15,0.15745,0.193,8.9,0.12745,0.1375,0.157827552986513,0.148570569650004,NA,NA,27.5,3.7935,0.144,26.6,-0.866515942898565
"64",99,3,1,1,408,99,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,60,0.95135,0.1585,0.1,0.0017,0.127,1.85,0.0419,0.219,8.45,0.1581,0.188,10.65,0.21005,0.201,0.1775,0.225393783670108,NA,NA,39,5.4135,0.136,0.35,0.833965953669113
"65",100,3,1,1,431,100,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,40.85,0.81295,0.186,7.9,0.2007,0.236,8.1,0.1918,0.2195,6.5,0.1449,0.2185,5.05,0.07145,0.207,0.225364823348694,0.192828668153911,NA,NA,13.35,2.0415,0.147,21.6,-5.2199499944605
