"","Animal","Genotype","Diet","Day","Sex","Time","Distance","TimeNorm","DistNorm","Quadrant"
"514","210503-17","E33","Control","Probe_D8","F",10.5,0.21,0.291666666666667,0.315410033042956,"SE"
"515","061019_1","E44","Control","Probe_D8","M",18.5,0.3737,0.308333333333333,0.310614246529798,"SE"
"516","061019_10","E44","Control","Probe_D8","F",4.7,0.1077,0.0782029950083195,0.090140609306997,"SE"
"517","061019_2","E44","Control","Probe_D8","M",2.8,0.0484,0.0466666666666667,0.051320114515958,"SE"
"518","061019_3","E44","Control","Probe_D8","M",16.1,0.3722,0.267886855241265,0.284905082669933,"SE"
"519","061019_4","E44","Control","Probe_D8","M",9.9,0.1941,0.165,0.174503281488807,"SE"
"520","061019_5","E44","Control","Probe_D8","M",12.5,0.306,0.208333333333333,0.217484008528785,"SE"
"521","061019_6","E44","Control","Probe_D8","F",13.1,0.2845,0.218333333333333,0.229731912144703,"SE"
"522","061019_7","E44","Control","Probe_D8","F",12.6,0.2419,0.210350584307179,0.209346603202077,"SE"
"523","061019_8","E44","Control","Probe_D8","F",6.3,0.1463,0.105,0.121219653658132,"SE"
"524","061019_9","E44","Control","Probe_D8","F",18.8,0.4281,0.312811980033278,0.331757594544327,"SE"
"525","210201_6","E44","Control","Probe_D8","F",15.7,0.3992,0.261666666666667,0.292325717633275,"SE"
"526","210201_7","E44","Control","Probe_D8","F",12.2,0.2755,0.203672787979967,0.208743749052887,"SE"
"527","210201_8","E44","Control","Probe_D8","F",18.7,0.5331,0.312186978297162,0.348476925088247,"SE"
"528","210201_9","E44","Control","Probe_D8","F",20.2,0.518,0.336666666666667,0.364070846218724,"SE"
"529","210201_10","E44","Control","Probe_D8","F",19.6,0.3516,0.3261231281198,0.304047042545832,"SE"
"530","210201_11","E44","Control","Probe_D8","M",16.5,0.3368,0.275,0.325127908099237,"SE"
"531","210201_12","E44","Control","Probe_D8","M",9.6,0.1371,0.16,0.186353133070545,"SE"
"532","210201_13","E44","Control","Probe_D8","M",8.9,0.205,0.148333333333333,0.165911298154743,"SE"
"533","210201_14","E44","Control","Probe_D8","M",5.7,0.1277,0.0948419301164725,0.109755049419854,"SE"
"534","210201_15","E44","Control","Probe_D8","M",10.5,0.1559,0.175,0.171111842827352,"SE"
"535","210201_16","E44","Control","Probe_D8","M",25,0.428,0.416666666666667,0.381563697958456,"SE"
"536","210201_17","E44","Control","Probe_D8","M",5.8,0.1204,0.0966666666666667,0.106097990835389,"SE"
"537","210201_18","E44","Control","Probe_D8","M",9,0.1943,0.15,0.167687926124105,"SE"
"538","210201_19","E2HN","Control","Probe_D8","M",5.7,0.0896,0.095,0.0887392294741012,"SE"
"539","210614-1","E2HN","HFD","Probe_D8","F",14.7,0.2336,0.247474747474747,0.23069326486273,"SE"
"540","210614-2","E2HN","HFD","Probe_D8","F",8.8,0.1955,0.150684931506849,0.156612993671393,"SE"
"541","210614-3","E2HN","HFD","Probe_D8","F",15,0.2599,0.263157894736842,0.252134264648816,"SE"
"542","210614-4","E2HN","HFD","Probe_D8","F",12.3,0.3188,0.21025641025641,0.223939308794605,"SE"
"543","210614-5","E2HN","HFD","Probe_D8","F",13.3,0.2692,0.226575809199319,0.219755102040816,"SE"
"544","210614-6","E2HN","HFD","Probe_D8","M",22.3,0.4812,0.37228714524207,0.395984200131666,"SE"
"545","210614-7","E2HN","HFD","Probe_D8","M",16.5,0.239,0.283505154639175,0.232061365181086,"SE"
"546","210118-11","E3HN","HFD","Probe_D8","F",9.9,0.1623,0.165275459098497,0.185591766723842,"SE"
"547","210118-12","E3HN","HFD","Probe_D8","F",0.6,0.007,0.01,0.00810560444650301,"SE"
"548","210118-13","E3HN","HFD","Probe_D8","M",2.4,0.0434,0.04,0.0428050103560509,"SE"
"549","210222_1","E3HN","Control","Probe_D8","F",17,0.4071,0.293609671848014,0.313491452333282,"SE"
"550","210222_2","E3HN","Control","Probe_D8","F",17.8,0.4091,0.311188811188811,0.351339745791824,"SE"
"551","210222_3","E3HN","Control","Probe_D8","M",4.3,0.0891,0.0912951167728238,0.113028035012051,"SE"
"552","210222_4","E3HN","Control","Probe_D8","M",12.5,0.231,0.216637781629116,0.224511614345417,"SE"
"553","210222_5","E3HN","Control","Probe_D8","M",5.3,0.113,0.0904436860068259,0.112729449321628,"SE"
"554","210222_6","E3HN","Control","Probe_D8","M",20.2,0.4784,0.336666666666667,0.356217423678332,"SE"
"555","210614-8","E3HN","HFD","Probe_D8","M",14.8,0.2149,0.247078464106845,0.20323434840174,"SE"
