,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSMUSG00000022139,534.7456538,0.211675931,0.220228841,0.137842153,0.703885583
ENSMUSG00000022141,391.5464264,0.169638473,0.195281035,0.204558023,0.801635392
ENSMUSG00000022142,70.8945401,0.088778975,0.239365848,0.284383304,0.8880515
ENSMUSG00000022146,0.53772669,-0.006321086,0.233408841,0.533884522,0.999871382
ENSMUSG00000022148,1669.268659,0.179865534,0.177520099,0.159042132,0.739846951
ENSMUSG00000022149,2.186259651,-0.001071276,0.233261258,0.803350192,0.999871382
ENSMUSG00000022150,46.0556367,0.007941046,0.230073823,0.809069478,0.999871382
ENSMUSG00000022151,432.4231236,0.172950351,0.2739403,0.123642599,0.679956411
ENSMUSG00000022157,27.48177647,-0.063646676,0.244204225,0.040528307,0.424880446
ENSMUSG00000022159,83.45614494,0.997809504,0.878715156,0.004385317,0.134834707
ENSMUSG00000022160,111.8641761,0.026963237,0.214658976,0.758614546,0.999871382
ENSMUSG00000022174,1033.069403,-0.865208585,0.344289535,0.000550435,0.034377198
ENSMUSG00000022175,2157.152982,-0.095096657,0.175441548,0.435830676,0.980987159
ENSMUSG00000022176,0.199434847,0.002144896,0.233293696,0.924362368,0.999871382
ENSMUSG00000022177,109.1676481,0.010371424,0.208056353,0.914596782,0.999871382
ENSMUSG00000022178,7.407474552,0.020048632,0.232289416,0.41407523,0.971649095
ENSMUSG00000022179,26.65510453,0.051606042,0.23646137,0.263670528,0.866282259
ENSMUSG00000022180,25.33318759,0.014944794,0.226297502,0.78755782,0.999871382
ENSMUSG00000022181,1.063108744,-0.003094656,0.233282894,0.690815018,0.999871382
ENSMUSG00000022184,79.8443838,-0.12955846,0.257243868,0.176515346,0.766262513
ENSMUSG00000022185,1668.740657,0.424542233,0.246424263,0.01180193,0.23269384
ENSMUSG00000022186,281.6187014,-0.054563361,0.195649487,0.561993815,0.999871382
ENSMUSG00000022191,204.6653964,-0.096673932,0.213312485,0.422169922,0.975498813
ENSMUSG00000022193,770.159226,-0.51815301,0.273172912,0.005870681,0.15874667
ENSMUSG00000022194,780.7631287,-0.401729938,0.299580893,0.02089094,0.311298439
ENSMUSG00000022195,85.67300525,0.016782975,0.198938583,0.914520702,0.999871382
ENSMUSG00000022197,21.74915731,0.000467317,0.231152874,0.9908632,0.999871382
ENSMUSG00000022199,40.90027235,-0.056214791,0.235169526,0.320589051,0.91537225
ENSMUSG00000022200,393.091536,0.269896802,0.298060015,0.070285482,0.54094035
ENSMUSG00000022201,576.4472678,0.27629157,0.261198861,0.06994124,0.540585758
ENSMUSG00000022203,0.583231784,-0.004152882,0.233355664,3.4521E-05,0.004516783
ENSMUSG00000022204,264.6201953,-0.067160514,0.178340084,0.569752024,0.999871382
ENSMUSG00000022205,1649.982461,-0.072854747,0.164562718,0.535269703,0.999871382
ENSMUSG00000022206,5.353208804,-0.068615596,0.243375489,0.13180022,0.691638088
ENSMUSG00000022208,0.459352399,-0.001566861,0.233306069,0.572097326,0.999871382
ENSMUSG00000022210,124.9204206,0.021637399,0.208557233,0.812350666,0.999871382
ENSMUSG00000022211,12.12579292,0.007497586,0.230240835,0.836866674,0.999871382
ENSMUSG00000022214,1162.986796,0.042797443,0.172546036,0.717535119,0.999871382
ENSMUSG00000022215,0.230918234,0.001454976,0.233309381,0.960831812,0.999871382
ENSMUSG00000022216,3477.791152,-0.688597757,0.328296763,0.002096091,0.085971011
ENSMUSG00000022217,90.44876722,-1.567605615,0.562919724,0.000201375,0.017779234
ENSMUSG00000022218,103.9777602,-0.015254381,0.221673488,0.822453294,0.999871382
ENSMUSG00000022219,18.75778225,-0.026934486,0.231549546,0.499618745,0.999871382
ENSMUSG00000022220,25.85552595,0.033860543,0.232183704,0.400334892,0.9637446
ENSMUSG00000022221,155.4310839,-0.296171819,0.351892459,0.050081386,0.46378421
