Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
18,211004_2,E33_M,C,Day1,2,MWM_150,10/11/21,60,12.416,0.207,3.4,0.684,0.198,17.8,3.793,0.214,11,2.23,0.203,27.8,5.709,0.205,,,22.9,3.858,0.168,Control,M,12
19,211004_3,E33_M,C,Day1,2,MWM_150,10/11/21,9,1.327,0.148,2.4,0.553,0.229,0,0,,0.1,0.06,0.603,6.5,0.713,0.11,1.201,4.9,0,0,,Control,M,12
20,211004_5,E33_F,C,Day1,2,MWM_150,10/11/21,9.7,0.959,0.099,2.6,0.312,0.12,1.3,0.293,0.22,0,0,,5.8,0.353,0.061,0.865,5.6,0,0,,HFD,F,12
21,211004_9,E33_F,C,Day1,2,MWM_150,10/11/21,12.5,2.176,0.175,3.2,0.645,0.204,0,0,,2.8,0.808,0.289,6.5,0.722,0.111,2.092,8.4,2.4,0.56,0.23,HFD,F,12
22,211004_10,E4HN_F,B,Day1,2,MWM_150,10/11/21,32,4.84,0.151,10.4,1.668,0.16,10.9,1.979,0.182,3.8,0.891,0.234,6.9,0.303,0.044,4.802,27.9,15,2.549,0.17,Control,F,12
23,211004_11,E4HN_F,B,Day1,2,MWM_150,10/11/21,60,7.721,0.129,1.7,0.32,0.191,3.6,0.596,0.168,35.3,3.983,0.113,19.5,2.822,0.145,,,32.1,4.027,0.126,Control,F,12
24,211004_12,E4HN_F,B,Day1,2,MWM_150,10/11/21,60,11.3,0.188,23.4,4.368,0.187,15.6,2.583,0.166,16.1,3.258,0.202,5,1.092,0.22,,,29.6,4.921,0.166,Control,F,12
25,211004_13,E4HN_F,B,Day1,2,MWM_150,10/11/21,60,9.133,0.152,30.6,3.282,0.107,14,2.412,0.172,9.9,2.176,0.22,5.5,1.263,0.229,,,28.7,4.663,0.162,Control,F,12
26,211004_14,E4HN_M,B,Day1,2,MWM_150,10/11/21,60,10.243,0.171,12.2,2.169,0.178,14.1,2.016,0.143,22,3.651,0.166,11.8,2.407,0.205,,,49.7,8.703,0.175,HFD,M,12
27,211004_15,E4HN_M,B,Day1,2,MWM_150,10/11/21,60,7.142,0.119,17.2,2.732,0.159,2.5,0.46,0.184,40.3,3.95,0.098,0,0,,,,40.3,4.27,0.106,HFD,M,12
28,211004_16,E4HN_M,B,Day1,2,MWM_150,10/11/21,33.4,4.809,0.144,11.4,1.869,0.164,4,0.816,0.202,8,1.307,0.163,10,0.818,0.082,4.764,29.3,9.8,1.477,0.15,HFD,M,12
29,211004_17,E4HN_M,B,Day1,2,MWM_150,10/11/21,60,9.114,0.152,25.3,3.392,0.134,12.3,1.36,0.111,15.7,3.043,0.194,6.7,1.319,0.195,,,35.8,5.267,0.147,HFD,M,12
30,211004_19,E44_M,A,Day1,2,MWM_150,10/11/21,60,10.731,0.179,8.4,1.684,0.2,32.2,5.505,0.171,13.2,2.387,0.181,6.2,1.155,0.187,,,32.7,5.822,0.178,Control,M,18
31,211004_20,E44_F,A,Day1,2,MWM_150,10/11/21,60,11.832,0.197,21.2,3.782,0.178,13.5,2.682,0.199,10.6,2.134,0.202,14.7,3.234,0.22,,,39.4,8.13,0.207,Control,F,18
