Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
327,200331_12,APOE22M,C,Day4,4,MWM_150,4/3/2020,25.2,3.480,0.138,1.2,0.180,0.155,7.1,0.908,0.128,5.6,1.136,0.203,11.3,1.255,0.111,3.444,23.1,3.1,0.345,0.111,Control
328,200331_13,APOE22M,C,Day4,4,MWM_150,4/3/2020,35.9,5.187,0.144,0.0,0.000,,0.0,0.000,,26.1,3.971,0.152,9.9,1.216,0.123,5.149,33.9,2.2,0.246,0.113,Control
329,200331_14,APOE44M,D,Day4,4,MWM_150,4/3/2020,60.0,9.272,0.155,8.6,1.298,0.151,12.4,2.192,0.176,5.3,1.134,0.215,33.7,4.649,0.138,,,25.5,3.470,0.136,Control
330,200331_15,APOE44M,D,Day4,4,MWM_150,4/3/2020,3.0,0.117,0.038,0.0,0.000,,0.0,0.000,,0.0,0.000,,3.0,0.117,0.038,0.083,0.9,0.0,0.000,,Control
331,200331_16,APOE44M,D,Day4,4,MWM_150,4/3/2020,7.0,1.061,0.151,1.0,0.252,0.261,0.0,0.000,,2.3,0.446,0.192,3.7,0.363,0.097,1.061,5.0,0.0,0.000,,Control
332,200331_17,APOE44F,B,Day4,4,MWM_150,4/3/2020,2.4,0.000,0.000,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.4,0.000,0.000,0.000,0.0,0.0,0.000,,Control
333,200331_18,APOE44M,D,Day4,4,MWM_150,4/3/2020,24.8,3.278,0.132,0.0,0.000,,1.7,0.246,0.148,4.4,0.835,0.191,18.8,2.197,0.117,3.241,22.8,3.1,0.248,0.081,Control
334,200331_19,APOE44F,B,Day4,4,MWM_150,4/3/2020,5.4,0.421,0.078,0.0,0.000,,0.0,0.000,,0.0,0.000,,5.4,0.421,0.078,0.352,3.3,0.0,0.000,,Control
335,200331_20,APOE44M,D,Day4,4,MWM_150,4/3/2020,21.3,3.273,0.154,4.8,0.841,0.174,0.9,0.129,0.143,6.1,1.056,0.173,9.5,1.247,0.132,3.238,19.2,0.0,0.000,,Control
336,200331_21,APOE44F,B,Day4,4,MWM_150,4/3/2020,11.0,0.960,0.087,0.0,0.000,,0.0,0.000,,0.8,0.081,0.102,10.2,0.878,0.086,0.924,9.0,0.0,0.000,,Control
