Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
225,210906_9,E44,A,Day3,2,MWM_150,9/15/2021,12.2,1.653,0.136,3.6,0.551,0.155,0,0,,3.4,0.766,0.225,5.2,0.335,0.064,1.567,8.2,0.4,0.098,0.267,HFD,F,12
226,210906_10,E44,A,Day3,2,MWM_150,9/15/2021,13.3,1.821,0.137,4.1,0.659,0.16,2.6,0.592,0.228,1.2,0.217,0.181,5.3,0.352,0.066,1.709,9.2,0,0,,HFD,F,12
227,210906_11,E44,A,Day3,2,MWM_150,9/15/2021,60,12.618,0.21,16.7,3.408,0.204,18.8,3.857,0.205,10.2,2.353,0.231,14.4,3,0.209,,,32.7,6.811,0.209,HFD,F,12
228,210906_12,E44,A,Day3,2,MWM_150,9/15/2021,9.9,0.991,0.1,3.2,0.405,0.125,0,0,,0.8,0.146,0.19,5.9,0.44,0.075,0.876,5.8,0,0,,HFD,F,12
229,210906_13,E44,A,Day3,2,MWM_150,9/15/2021,29.2,5.425,0.186,3.7,0.705,0.192,3,0.57,0.192,12.1,2.753,0.228,10.5,1.397,0.133,5.344,25.2,1.3,0.29,0.223,HFD,F,12
230,210906_14,E44,A,Day3,2,MWM_150,9/15/2021,19.8,2.618,0.132,8.7,1.337,0.154,2.2,0.379,0.172,1.1,0.217,0.197,7.8,0.685,0.087,2.585,15.8,3.4,0.456,0.134,HFD,F,12
231,210906_15,E44,A,Day3,2,MWM_150,9/15/2021,17.3,2.644,0.153,4.8,0.889,0.185,1.9,0.522,0.28,0,0,,10.6,1.232,0.117,2.644,13.2,2.8,0.371,0.131,HFD,F,12
232,210906_16,E44,A,Day3,2,MWM_150,9/15/2021,60,11.349,0.189,12,2.357,0.196,14.3,2.757,0.193,19.3,3.326,0.172,14.4,2.909,0.202,,,28.7,5.565,0.194,HFD,F,12
233,210906_17,E44,A,Day3,2,MWM_150,9/15/2021,20.4,2.61,0.128,8.5,1.302,0.154,2.8,0.37,0.131,2.5,0.432,0.173,6.6,0.506,0.077,2.577,16.3,0,0,,HFD,F,12
234,210906_18,E44,A,Day3,2,MWM_150,9/15/2021,17.5,2.353,0.134,1.4,0.265,0.184,3.8,0.421,0.111,3,0.699,0.236,9.3,0.968,0.104,2.272,13.5,0,0,,HFD,F,12
